Time (s),Li-Ion Voltage (mV),LiPo Voltage (mV)
6720,4040.4666666666667,
6780,4042.266666666667,
6840,4042.5,
6900,4041.1833333333334,
6960,4037.9333333333334,
7020,4038.9166666666665,
7080,4038.4333333333334,
7140,4038.15,
7200,4035.45,
7260,4037.7,
7320,4033.7166666666667,
7380,4034.75,
7440,4034.0666666666666,
7500,4033.883333333333,
7560,4034.483333333333,
7620,4031.0,
7680,4032.2,
7740,4032.0666666666666,
7800,4029.4333333333334,
7860,4032.0666666666666,
7920,4029.483333333333,
7980,4027.65,
8040,4025.233333333333,
8100,4027.1,
8160,4023.516666666667,
8220,4024.2,
8280,4024.366666666667,
8340,4022.4666666666667,
8400,4020.85,
8460,4020.0,
8520,4018.383333333333,
8580,4021.8166666666666,
8640,4017.9166666666665,
8700,4020.95,
8760,4019.383333333333,
8820,4021.2833333333333,
8880,4019.483333333333,
8940,4014.5333333333333,
9000,4016.883333333333,
9060,4012.6666666666665,
9120,4013.9666666666667,
9180,4014.1,
9240,4012.0833333333335,
9300,4012.9666666666667,
9360,4011.8,
9420,4011.633333333333,
9480,4010.7166666666667,
9540,4009.366666666667,
9600,4009.8,
9660,4008.2833333333333,
9720,4009.483333333333,
9780,4007.35,
9840,4004.5833333333335,
9900,4004.766666666667,
9960,4003.633333333333,
10020,4004.2,
10080,3999.9666666666667,
10140,3999.883333333333,
10200,4002.266666666667,
10260,4002.1666666666665,
10320,3999.866666666667,
10380,4002.0333333333333,
10440,3997.7,
10500,3996.366666666667,
10560,3995.05,
10620,3995.133333333333,
10680,3994.6,
10740,3993.1,
10800,3989.2833333333333,
10860,3991.85,
10920,3989.766666666667,
10980,3986.45,
11040,3988.9333333333334,
11100,3988.883333333333,
11160,3986.516666666667,
11220,3985.2,
11280,3984.5666666666666,
11340,3980.0333333333333,
11400,3982.3333333333335,
11460,3979.8,
11520,3980.9,
11580,3980.483333333333,
11640,3978.1666666666665,
11700,3978.35,
11760,3977.5333333333333,
11820,3978.9333333333334,
11880,3975.75,
11940,3971.266666666667,
12000,3972.3333333333335,
12060,3970.866666666667,
12120,3969.15,
12180,3971.7833333333333,
12240,3966.55,
12300,3968.7,
12360,3968.1833333333334,
12420,3966.05,
12480,3963.5333333333333,
12540,3963.7,
12600,3962.8,
12660,3963.2833333333333,
12720,3959.85,
12780,3958.9,
12840,3962.15,
12900,3957.366666666667,
12960,3956.6,
13020,3954.65,
13080,3952.5333333333333,
13140,3952.9166666666665,
13200,3951.3333333333335,
13260,3948.35,
13320,3951.6666666666665,
13380,3948.0666666666666,
13440,3947.383333333333,
13500,3947.2166666666667,
13560,3946.733333333333,
13620,3943.483333333333,
13680,3940.8333333333335,
13740,3939.3333333333335,
13800,3940.6666666666665,
13860,3941.233333333333,
13920,3941.7166666666667,
13980,3940.3,
14040,3937.95,
14100,3939.116666666667,
14160,3935.95,
14220,3934.6833333333334,
14280,3932.0833333333335,
14340,3931.4333333333334,
14400,3930.8333333333335,
14460,3929.5833333333335,
14520,3928.616666666667,
14580,3927.7166666666667,
14640,3928.366666666667,
14700,3925.8333333333335,
14760,3927.3166666666666,
14820,3923.5,
14880,3920.983333333333,
14940,3920.85,
15000,3920.4,
15060,3922.2166666666667,
15120,3918.116666666667,
15180,3920.0333333333333,
15240,3917.55,
15300,3916.383333333333,
15360,3913.9666666666667,
15420,3910.633333333333,
15480,3910.883333333333,
15540,3911.133333333333,
15600,3911.4,
15660,3909.3333333333335,
15720,3909.85,
15780,3905.483333333333,
15840,3902.733333333333,
15900,3905.6,
15960,3904.3166666666666,
16020,3904.8333333333335,
16080,3904.4666666666667,
16140,3900.233333333333,
16200,3902.2833333333333,
16260,3901.2,
16320,3898.4333333333334,
16380,3900.4166666666665,
16440,3897.383333333333,
16500,3896.633333333333,
16560,3898.0666666666666,
16620,3890.133333333333,
16680,3891.016666666667,
16740,3891.8166666666666,
16800,3886.483333333333,
16860,3891.6,
16920,3888.85,
16980,3888.633333333333,
17040,3886.1,
17100,3885.2166666666667,
17160,3884.2166666666667,
17220,3883.0,
17280,3882.05,
17340,3884.2,
17400,3880.7,
17460,3877.8333333333335,
17520,3880.5333333333333,
17580,3875.866666666667,
17640,3876.85,
17700,3878.6,
17760,3875.0,
17820,3873.95,
17880,3868.4,
17940,3869.5666666666666,
18000,3868.4166666666665,
18060,3869.866666666667,
18120,3868.0666666666666,
18180,3868.75,
18240,3867.7166666666667,
18300,3867.3166666666666,
18360,3866.5333333333333,
18420,3866.483333333333,
18480,3861.8,
18540,3861.9166666666665,
18600,3862.8333333333335,
18660,3863.516666666667,
18720,3858.5833333333335,
18780,3858.266666666667,
18840,3856.4166666666665,
18900,3856.8333333333335,
18960,3856.6833333333334,
19020,3854.15,
19080,3855.0,
19140,3851.5666666666666,
19200,3852.1833333333334,
19260,3848.5333333333333,
19320,3851.7833333333333,
19380,3848.366666666667,
19440,3849.5833333333335,
19500,3849.3166666666666,
19560,3848.85,
19620,3846.233333333333,
19680,3846.2,
19740,3842.3,
19800,3846.483333333333,
19860,3842.266666666667,
19920,3842.9333333333334,
19980,3841.55,
20040,3838.35,
20100,3841.25,
20160,3839.1666666666665,
20220,3838.133333333333,
20280,3837.1666666666665,
20340,3837.266666666667,
20400,3836.9166666666665,
20460,3834.133333333333,
20520,3833.233333333333,
20580,3834.25,
20640,3831.483333333333,
20700,3828.5666666666666,
20760,3830.55,
20820,3830.2166666666667,
20880,3827.733333333333,
20940,3824.4333333333334,
21000,3828.233333333333,
21060,3825.5,
21120,3823.85,
21180,3824.8166666666666,
21240,3824.2,
21300,3822.366666666667,
21360,3821.1833333333334,
21420,3820.85,
21480,3820.1666666666665,
21540,3818.7,
21600,3820.5333333333333,
21660,3817.5666666666666,
21720,3818.116666666667,
21780,3817.65,
21840,3815.733333333333,
21900,3815.45,
21960,3815.6,
22020,3813.9333333333334,
22080,3810.2166666666667,
22140,3810.5,
22200,3810.766666666667,
22260,3808.95,
22320,3806.983333333333,
22380,3807.1666666666665,
22440,3809.7833333333333,
22500,3808.133333333333,
22560,3807.4166666666665,
22620,3806.8,
22680,3803.7833333333333,
22740,3802.0666666666666,
22800,3801.0333333333333,
22860,3801.15,
22920,3799.233333333333,
22980,3796.5666666666666,
23040,3799.35,
23100,3797.6,
23160,3797.05,
23220,3794.3333333333335,
23280,3793.4,
23340,3789.8166666666666,
23400,3790.633333333333,
23460,3790.0333333333333,
23520,3786.7833333333333,
23580,3787.85,
23640,3786.45,
23700,3790.0333333333333,
23760,3786.766666666667,
23820,3783.65,
23880,3785.1,
23940,3784.6833333333334,
24000,3781.5,
24060,3785.5666666666666,
24120,3777.85,
24180,3782.2833333333333,
24240,3778.5333333333333,
24300,3778.9166666666665,
24360,3775.0,
24420,3776.7833333333333,
24480,3774.2166666666667,
24540,3777.0,
24600,3775.2,
24660,3774.7166666666667,
24720,3770.0666666666666,
24780,3769.8166666666666,
24840,3768.266666666667,
24900,3765.85,
24960,3765.8166666666666,
25020,3765.133333333333,
25080,3763.9333333333334,
25140,3765.0333333333333,
25200,3763.0666666666666,
25260,3764.25,
25320,3762.233333333333,
25380,3758.45,
25440,3758.15,
25500,3758.05,
25560,3756.7833333333333,
25620,3758.35,
25680,3757.4333333333334,
25740,3753.75,
25800,3753.766666666667,
25860,3750.2,
25920,3749.233333333333,
25980,3748.4,
26040,3750.4333333333334,
26100,3746.733333333333,
26160,3748.55,
26220,3745.5,
26280,3744.766666666667,
26340,3747.4666666666667,
26400,3741.85,
26460,3743.1833333333334,
26520,3741.6666666666665,
26580,3735.6666666666665,
26640,3739.7833333333333,
26700,3734.0333333333333,
26760,3734.3333333333335,
26820,3734.266666666667,
26880,3737.5833333333335,
26940,3732.65,
27000,3732.383333333333,
27060,3732.65,
27120,3727.5333333333333,
27180,3728.0,
27240,3726.366666666667,
27300,3727.4166666666665,
27360,3723.2,
27420,3723.05,
27480,3720.75,
27540,3721.75,
27600,3720.05,
27660,3719.633333333333,
27720,3718.233333333333,
27780,3719.2833333333333,
27840,3715.633333333333,
27900,3717.016666666667,
27960,3714.5333333333333,
28020,3715.0666666666666,
28080,3715.35,
28140,3711.7833333333333,
28200,3710.366666666667,
28260,3707.65,
28320,3708.4666666666667,
28380,3706.5666666666666,
28440,3706.016666666667,
28500,3707.5666666666666,
28560,3703.883333333333,
28620,3706.4666666666667,
28680,3701.7,
28740,3702.2833333333333,
28800,3702.7833333333333,
28860,3698.2833333333333,
28920,3698.366666666667,
28980,3694.6,
29040,3696.55,
29100,3695.1666666666665,
29160,3693.016666666667,
29220,3693.516666666667,
29280,3693.7833333333333,
29340,3692.8166666666666,
29400,3694.5833333333335,
29460,3689.4,
29520,3690.383333333333,
29580,3688.6666666666665,
29640,3684.866666666667,
29700,3685.5666666666666,
29760,3684.25,
29820,3683.5333333333333,
29880,3682.8166666666666,
29940,3683.3333333333335,
30000,3682.95,
30060,3682.133333333333,
30120,3679.75,
30180,3678.9166666666665,
30240,3676.6,
30300,3675.633333333333,
30360,3676.4666666666667,
30420,3674.0666666666666,
30480,3673.9,
30540,3674.483333333333,
30600,3669.9,
30660,3672.516666666667,
30720,3670.8333333333335,
30780,3671.2833333333333,
30840,3671.25,
30900,3667.2,
