Time (s),Li-Ion Voltage (mV),LiPo Voltage (mV)
396,4188,3941
397,4168,3949
398,4177,3949
399,4168,3939
400,4178,3939
401,4168,3920
402,4178,3931
403,4177,3931
404,4188,3931
405,4188,3920
406,4188,3949
407,4168,3939
408,4178,3939
409,4159,3920
410,4168,3900
411,4188,3931
412,4188,3931
413,4188,3908
414,4157,3918
415,4168,3929
416,4168,3929
417,4178,3920
418,4178,3931
419,4198,3931
420,4188,3890
421,4208,3902
422,4177,3939
423,4137,3908
424,4137,3939
425,4168,3920
426,4168,3902
427,4188,3939
428,4188,3939
429,4188,3929
430,4168,3910
431,4178,3920
432,4178,3920
433,4177,3920
434,4188,3939
435,4188,3929
436,4188,3939
437,4188,3929
438,4168,3910
439,4147,3920
440,4168,3920
441,4178,3939
442,4177,3939
443,4188,3918
444,4177,3929
445,4188,3910
446,4168,3920
447,4168,3920
448,4178,3920
449,4178,3939
450,4168,3929
451,4188,3892
452,4188,3929
453,4177,3910
454,4188,3920
455,4188,3920
456,4158,3920
457,4178,3929
458,4168,3929
459,4168,3929
460,4157,3910
461,4188,3910
462,4177,3902
463,4177,3920
464,4188,3920
465,4158,3929
466,4168,3929
467,4168,3879
468,4158,3929
469,4168,3900
470,4177,3910
471,4177,3931
472,4177,3910
473,4168,3929
474,4168,3900
475,4168,3929
476,4168,3898
477,4198,3910
478,4188,3910
479,4177,3920
480,4188,3910
481,4177,3929
482,4168,3918
483,4158,3918
484,4178,3918
485,4178,3900
486,4188,3910
487,4188,3910
488,4197,3910
489,4188,3929
490,4158,3918
491,4168,3900
492,4168,3918
493,4159,3900
494,4168,3910
495,4188,3910
496,4188,3910
497,4177,3918
498,4177,3918
499,4168,3898
500,4168,3900
501,4168,3900
502,4168,3910
503,4168,3910
504,4198,3918
505,4168,3918
506,4177,3918
507,4177,3908
508,4177,3900
509,4158,3881
510,4168,3900
511,4168,3869
512,4148,3887
513,4167,3871
514,4177,3890
515,4167,3900
516,4168,3910
517,4168,3900
518,4178,3918
519,4178,3908
520,4188,3908
521,4168,3908
522,4188,3890
523,4188,3900
524,4197,3900
525,4158,3918
526,4158,3918
527,4168,3908
528,4168,3887
529,4168,3890
530,4148,3900
531,4188,3890
532,4197,3900
533,4177,3918
534,4177,3908
535,4168,3908
536,4158,3908
537,4168,3890
538,4168,3890
539,4188,3900
540,4177,3900
541,4177,3908
542,4177,3887
543,4147,3887
544,4168,3908
545,4168,3890
546,4178,3879
547,4188,3900
548,4177,3890
549,4177,3908
550,4177,3908
551,4146,3908
552,4147,3879
553,4158,3900
554,4168,3900
555,4168,3890
556,4177,3908
557,4177,3898
558,4157,3898
559,4177,3879
560,4177,3890
561,4158,3890
562,4168,3890
563,4168,3890
564,4168,3898
565,4188,3898
566,4157,3866
567,4177,3879
568,4177,3890
569,4177,3890
570,4158,3908
571,4168,3916
572,4168,3898
573,4168,3898
574,4188,3898
575,4167,3890
576,4177,3890
577,4177,3890
578,4177,3898
579,4158,3898
580,4158,3898
581,4158,3898
582,4168,3848
583,4188,3879
584,4177,3890
585,4177,3879
586,4158,3908
587,4167,3879
588,4158,3898
589,4168,3898
590,4168,3869
591,4168,3890
592,4177,3890
593,4177,3887
594,4177,3898
595,4158,3898
596,4177,3887
597,4137,3879
598,4168,3879
599,4188,3908
600,4177,3859
601,4177,3887
602,4158,3887
603,4167,3879
604,4158,3879
605,4168,3879
606,4148,3869
607,4168,3898
608,4177,3887
609,4177,3887
610,4177,3859
611,4177,3869
612,4177,3879
613,4158,3879
614,4158,3861
615,4168,3887
616,4168,3887
617,4188,3887
618,4177,3869
619,4146,3879
620,4177,3879
621,4157,3879
622,4158,3869
623,4168,3859
624,4168,3887
625,4168,3869
626,4168,3869
627,4188,3879
628,4177,3869
629,4177,3908
630,4177,3887
631,4177,3887
632,4138,3887
633,4168,3869
634,4168,3879
635,4178,3879
636,4168,3879
637,4188,3906
638,4177,3877
639,4177,3877
640,4177,3838
641,4177,3869
642,4158,3869
643,4168,3869
644,4168,3887
645,4168,3877
646,4188,3838
647,4157,3859
648,4177,3851
649,4177,3869
650,4197,3869
651,4158,3887
652,4158,3877
653,4158,3877
654,4168,3846
655,4168,3859
656,4188,3838
657,4177,3869
658,4177,3869
659,4177,3887
660,4177,3877
661,4158,3895
662,4148,3877
663,4168,3859
664,4168,3859
665,4188,3869
666,4177,3869
667,4197,3887
668,4177,3877
669,4147,3856
670,4177,3877
671,4168,3859
672,4168,3869
673,4168,3869
674,4177,3887
675,4177,3877
676,4167,3866
677,4177,3840
678,4177,3859
679,4158,3840
680,4168,3859
681,4168,3859
682,4188,3877
683,4177,3856
684,4167,3859
685,4167,3859
686,4158,3869
687,4168,3859
688,4168,3877
689,4168,3866
690,4177,3895
691,4177,3866
692,4187,3859
693,4158,3840
694,4177,3859
695,4147,3877
696,4138,3866
697,4158,3853
698,4147,3856
699,4168,3830
700,4188,3859
701,4177,3859
702,4177,3859
703,4177,3877
704,4147,3866
705,4158,3885
706,4158,3848
707,4168,3859
708,4168,3859
709,4188,3877
710,4177,3866
711,4197,3866
712,4146,3866
713,4147,3848
714,4158,3859
715,4158,3859
716,4168,3866
717,4168,3866
718,4177,3866
719,4167,3866
720,4147,3848
721,4157,3859
722,4147,3859
723,4158,3866
724,4168,3866
725,4168,3866
726,4188,3866
727,4167,3848
728,4157,3848
729,4167,3828
730,4167,3848
731,4138,3866
732,4158,3856
733,4168,3856
734,4168,3838
735,4177,3848
736,4177,3848
737,4177,3848
738,4147,3866
739,4167,3874
740,4157,3838
741,4158,3838
742,4158,3848
743,4158,3848
744,4168,3848
745,4168,3866
746,4177,3856
747,4177,3856
748,4167,3856
749,4157,3838
750,4167,3830
751,4167,3848
752,4177,3856
753,4158,3856
754,4158,3856
755,4138,3856
756,4177,3838
757,4177,3848
758,4167,3848
759,4167,3848
760,4177,3846
761,4147,3856
762,4158,3856
763,4158,3828
764,4168,3856
765,4137,3807
766,4138,3848
767,4177,3866
768,4167,3856
769,4167,3838
770,4147,3838
771,4158,3848
772,4168,3848
773,4158,3856
774,4177,3856
775,4177,3846
776,4177,3838
777,4177,3838
778,4167,3820
779,4147,3848
780,4158,3838
781,4158,3856
782,4158,3846
783,4158,3856
784,4167,3856
785,4167,3838
786,4157,3838
787,4167,3838
788,4137,3838
789,4158,3846
790,4158,3846
791,4158,3846
792,4168,3835
793,4177,3838
794,4157,3828
795,4167,3838
796,4167,3856
797,4167,3846
798,4147,3846
799,4158,3853
800,4168,3828
801,4158,3838
802,4158,3838
803,4157,3828
804,4177,3846
805,4167,3846
806,4167,3846
807,4147,3846
808,4167,3828
809,4137,3828
810,4127,3838
811,4128,3856
812,4158,3846
813,4158,3846
814,4158,3809
815,4177,3828
816,4177,3838
817,4167,3838
818,4167,3846
819,4167,3846
820,4147,3864
821,4147,3846
822,4147,3828
823,4158,3828
824,4158,3817
825,4158,3846
826,4177,3815
827,4177,3835
828,4167,3835
829,4167,3779
830,4167,3817
831,4146,3828
832,4167,3846
833,4147,3828
834,4158,3825
835,4158,3835
836,4138,3817
837,4177,3828
838,4167,3828
839,4167,3828
840,4167,3846
841,4167,3835
842,4157,3804
843,4158,3817
844,4158,3817
845,4158,3817
846,4158,3828
847,4177,3828
848,4167,3835
849,4167,3835
850,4167,3799
851,4167,3835
852,4147,3817
853,4128,3828
854,4158,3835
855,4177,3853
856,4167,3817
857,4157,3807
858,4167,3828
859,4167,3828
860,4147,3828
861,4158,3846
862,4158,3835
863,4158,3835
864,4158,3825
865,4157,3817
866,4177,3828
867,4167,3817
868,4146,3828
869,4167,3835
870,4167,3835
871,4147,3794
872,4158,3835
873,4158,3817
874,4158,3817
875,4158,3817
876,4197,3835
877,4167,3804
878,4187,3815
879,4167,3835
880,4167,3817
881,4147,3817
882,4147,3817
883,4158,3828
884,4158,3835
885,4158,3835
886,4157,3843
887,4147,3807
888,4167,3817
889,4167,3817
890,4167,3817
891,4167,3835
892,4128,3835
893,4158,3825
894,4158,3807
895,4158,3817
896,4158,3817
897,4177,3817
898,4158,3835
899,4167,3825
900,4167,3825
901,4167,3807
902,4167,3807
903,4167,3817
904,4167,3817
905,4158,3835
906,4158,3825
907,4158,3825
908,4158,3815
909,4177,3807
910,4167,3807
911,4167,3817
912,4187,3817
913,4167,3853
914,4147,3843
915,4137,3825
916,4147,3807
917,4147,3807
918,4158,3807
919,4177,3817
920,4167,3825
921,4167,3825
922,4157,3804
923,4167,3815
924,4167,3825
925,4147,3807
926,4158,3817
927,4158,3807
928,4167,3807
929,4167,3825
930,4167,3815
931,4167,3825
932,4167,3807
933,4157,3807
934,4167,3807
935,4147,3817
936,4147,3825
937,4158,3815
938,4158,3815
939,4167,3797
940,4146,3807
941,4147,3807
942,4167,3825
943,4147,3807
944,4147,3815
945,4158,3797
946,4147,3797
947,4158,3807
948,4167,3807
949,4136,3825
950,4157,3815
951,4167,3833
952,4147,3815
953,4147,3779
954,4147,3776
955,4158,3807
956,4177,3807
957,4167,3825
958,4167,3815
959,4167,3815
960,4167,3815
961,4167,3797
962,4137,3807
963,4137,3807
964,4158,3807
965,4128,3815
966,4147,3815
967,4157,3804
968,4167,3815
969,4157,3797
970,4167,3797
971,4157,3797
972,4157,3797
973,4147,3825
974,4127,3815
975,4158,3815
976,4158,3784
977,4147,3786
978,4167,3797
979,4147,3786
980,4137,3797
981,4167,3825
982,4147,3815
983,4147,3773
984,4167,3804
985,4147,3804
986,4147,3797
987,4177,3807
988,4167,3797
989,4157,3825
990,4176,3815
991,4157,3833
992,4157,3804
993,4147,3804
994,4147,3797
995,4158,3797
996,4147,3797
997,4177,3804
998,4167,3794
999,4117,3815
1000,4117,3804
1001,4157,3804
1002,4157,3797
1003,4117,3797
1004,4137,3797
1005,4147,3815
1006,4147,3804
1007,4158,3815
1008,4146,3804
1009,4147,3786
1010,4167,3797
1011,4157,3797
1012,4136,3804
1013,4136,3804
1014,4137,3804
1015,4147,3804
1016,4147,3786
1017,4147,3776
1018,4147,3797
1019,4167,3815
1020,4167,3815
1021,4157,3804
1022,4157,3804
1023,4157,3773
1024,4167,3786
1025,4147,3786
1026,4137,3815
1027,4147,3804
1028,4167,3791
1029,4167,3804
1030,4147,3804
1031,4157,3786
1032,4157,3766
1033,4137,3766
1034,4147,3768
1035,4158,3804
1036,4167,3815
1037,4167,3804
1038,4157,3804
1039,4146,3804
1040,4157,3804
1041,4137,3786
1042,4147,3797
1043,4147,3797
1044,4147,3804
1045,4167,3822
1046,4167,3773
1047,4176,3773
1048,4157,3804
1049,4157,3776
1050,4157,3786
1051,4137,3815
1052,4117,3797
1053,4147,3804
1054,4147,3794
1055,4167,3794
1056,4167,3804
1057,4157,3786
1058,4166,3786
1059,4157,3786
1060,4157,3804
1061,4147,3812
1062,4147,3794
1063,4147,3773
1064,4147,3776
1065,4167,3768
1066,4157,3786
1067,4157,3768
1068,4157,3804
1069,4157,3794
1070,4136,3794
1071,4146,3776
1072,4137,3755
1073,4147,3786
1074,4147,3786
1075,4147,3804
1076,4167,3794
1077,4167,3794
1078,4157,3776
1079,4146,3776
1080,4136,3786
1081,4137,3786
1082,4147,3804
1083,4147,3794
1084,4147,3794
1085,4167,3784
1086,4157,3776
1087,4137,3786
1088,4157,3786
1089,4157,3794
1090,4117,3776
1091,4147,3794
1092,4147,3784
1093,4147,3776
1094,4146,3776
1095,4167,3776
1096,4176,3794
1097,4137,3794
1098,4157,3773
1099,4137,3794
1100,4127,3776
1101,4147,3776
1102,4147,3776
1103,4167,3776
1104,4157,3804
1105,4157,3784
1106,4157,3784
1107,4157,3784
1108,4128,3758
1109,4147,3766
1110,4167,3794
1111,4136,3784
1112,4176,3784
1113,4157,3794
1114,4157,3776
1115,4137,3776
1116,4127,3776
1117,4147,3794
1118,4147,3784
1119,4147,3784
1120,4157,3784
1121,4126,3776
1122,4157,3776
1123,4157,3776
1124,4137,3786
1125,4128,3784
1126,4147,3784
1127,4147,3784
1128,4147,3766
1129,4167,3766
1130,4167,3766
1131,4176,3794
1132,4157,3794
1133,4176,3773
1134,4157,3784
1135,4137,3766
1136,4147,3776
1137,4147,3758
1138,4147,3776
1139,4157,3784
1140,4167,3784
1141,4167,3784
1142,4157,3766
1143,4157,3755
1144,4157,3776
1145,4127,3776
1146,4147,3776
1147,4137,3784
1148,4147,3773
1149,4167,3784
1150,4157,3748
1151,4157,3766
1152,4137,3776
1153,4118,3776
1154,4137,3766
1155,4147,3784
1156,4147,3735
1157,4167,3773
1158,4167,3766
1159,4157,3755
1160,4157,3776
1161,4146,3766
1162,4157,3784
1163,4137,3784
1164,4147,3773
1165,4137,3755
1166,4158,3766
1167,4157,3766
1168,4187,3776
1169,4157,3763
1170,4146,3784
1171,4157,3773
1172,4137,3773
1173,4137,3755
1174,4117,3766
1175,4147,3766
1176,4147,3766
1177,4167,3773
1178,4137,3752
1179,4157,3791
1180,4146,3742
1181,4157,3755
1182,4137,3766
1183,4137,3766
1184,4147,3766
1185,4117,3784
1186,4128,3763
1187,4167,3773
1188,4167,3773
1189,4157,3766
1190,4157,3766
1191,4157,3766
1192,4157,3766
1193,4137,3773
1194,4147,3773
1195,4157,3745
1196,4157,3766
1197,4157,3766
1198,4157,3784
1199,4146,3784
1200,4137,3773
1201,4137,3773
1202,4147,3755
1203,4137,3766
1204,4167,3766
1205,4157,3755
1206,4157,3773
1207,4157,3763
1208,4137,3770
1209,4118,3773
1210,4147,3745
1211,4137,3766
1212,4167,3766
1213,4157,3773
1214,4146,3773
1215,4176,3773
1216,4146,3763
1217,4157,3755
1218,4137,3745
1219,4137,3755
1220,4147,3766
1221,4157,3773
1222,4157,3755
1223,4146,3763
1224,4146,3773
1225,4146,3745
1226,4137,3755
1227,4137,3755
1228,4147,3755
1229,4137,3773
1230,4167,3773
1231,4167,3773
1232,4157,3755
1233,4146,3755
1234,4146,3745
1235,4137,3766
1236,4137,3784
1237,4137,3752
1238,4137,3763
1239,4118,3763
1240,4147,3745
1241,4167,3745
1242,4146,3755
1243,4146,3755
1244,4157,3773
1245,4146,3773
1246,4127,3742
1247,4137,3724
1248,4147,3745
1249,4127,3755
1250,4147,3738
1251,4146,3738
1252,4157,3773
1253,4157,3763
1254,4146,3763
1255,4146,3763
1256,4157,3755
1257,4137,3755
1258,4137,3755
1259,4147,3773
1260,4118,3781
1261,4137,3745
1262,4167,3752
1263,4157,3745
1264,4146,3755
1265,4157,3755
1266,4146,3745
1267,4137,3755
1268,4137,3763
1269,4118,3742
1270,4147,3763
1271,4137,3714
1272,4137,3755
1273,4136,3745
1274,4157,3755
1275,4146,3773
1276,4146,3763
1277,4146,3763
1278,4127,3763
1279,4137,3745
1280,4137,3755
1281,4157,3763
1282,4146,3763
1283,4146,3732
1284,4146,3763
1285,4127,3745
1286,4137,3738
1287,4137,3755
1288,4147,3745
1289,4137,3763
1290,4118,3763
1291,4157,3781
1292,4146,3745
1293,4146,3727
1294,4146,3755
1295,4107,3745
1296,4137,3773
1297,4137,3735
1298,4147,3763
1299,4167,3763
1300,4146,3724
1301,4157,3745
1302,4146,3745
1303,4146,3755
1304,4146,3781
1305,4126,3742
1306,4137,3704
1307,4137,3735
1308,4118,3745
1309,4137,3745
1310,4167,3745
1311,4157,3727
1312,4146,3763
1313,4146,3752
1314,4146,3752
1315,4146,3735
1316,4127,3724
1317,4137,3727
1318,4147,3745
1319,4137,3763
1320,4147,3721
1321,4157,3752
1322,4157,3717
1323,4157,3745
1324,4146,3745
1325,4146,3745
1326,4146,3781
1327,4127,3770
1328,4137,3752
1329,4118,3735
1330,4137,3735
1331,4137,3745
1332,4137,3745
1333,4137,3763
1334,4157,3752
1335,4146,3707
1336,4146,3735
1337,4146,3735
1338,4127,3745
1339,4137,3745
1340,4137,3752
1341,4117,3770
1342,4137,3752
1343,4137,3752
1344,4166,3704
1345,4146,3735
1346,4127,3745
1347,4097,3752
1348,4106,3752
1349,4147,3742
1350,4137,3752
1351,4167,3724
1352,4146,3735
1353,4146,3745
1354,4146,3735
1355,4146,3752
1356,4137,3752
1357,4137,3752
1358,4118,3752
1359,4167,3735
1360,4157,3745
1361,4145,3735
1362,4146,3763
1363,4146,3752
1364,4127,3752
1365,4137,3742
1366,4157,3724
1367,4127,3735
1368,4106,3752
1369,4146,3742
1370,4096,3742
1371,4137,3707
1372,4137,3745
1373,4147,3714
1374,4157,3735
1375,4157,3752
1376,4146,3742
1377,4146,3742
1378,4146,3724
1379,4117,3735
1380,4137,3745
1381,4137,3735
1382,4157,3763
1383,4137,3721
1384,4146,3742
1385,4146,3742
1386,4146,3735
1387,4107,3735
1388,4137,3735
1389,4137,3752
1390,4137,3752
1391,4137,3752
1392,4146,3742
1393,4146,3707
1394,4126,3735
1395,4127,3752
1396,4127,3752
1397,4137,3752
1398,4137,3742
1399,4137,3711
1400,4157,3724
1401,4146,3724
1402,4146,3735
1403,4146,3704
1404,4146,3752
1405,4127,3742
1406,4137,3742
1407,4137,3711
1408,4137,3724
1409,4157,3735
1410,4157,3704
1411,4146,3735
1412,4146,3742
1413,4146,3742
1414,4127,3742
1415,4137,3742
1416,4137,3724
1417,4137,3724
1418,4157,3735
1419,4146,3704
1420,4146,3742
1421,4146,3711
1422,4127,3742
1423,4087,3742
1424,4137,3724
1425,4137,3724
1426,4146,3735
1427,4146,3742
1428,4146,3742
1429,4127,3742
1430,4127,3732
1431,4137,3714
1432,4137,3724
1433,4106,3735
1434,4126,3742
1435,4136,3724
1436,4146,3732
1437,4146,3732
1438,4127,3724
1439,4127,3724
1440,4137,3693
1441,4137,3752
1442,4137,3742
1443,4157,3728
1444,4146,3732
1445,4146,3724
1446,4127,3724
1447,4146,3724
1448,4127,3707
1449,4137,3742
1450,4137,3732
1451,4146,3714
1452,4146,3724
1453,4146,3724
1454,4136,3742
1455,4127,3732
1456,4127,3732
1457,4137,3714
1458,4137,3714
1459,4157,3724
1460,4137,3724
1461,4146,3724
1462,4146,3732
